dose,filter,filename,snr,cnr,precision,recall,dice,exec_time_s
0.05,original,166.png,2.1920500257751985,0.377947591105312,0.234388036711304,0.7225244831331263,0.35395313900802017,0.0005367999547161162
0.05,original,167.png,2.1423843140197967,0.09904221624886687,0.22365924614209978,0.6054613935964684,0.3266521960005542,0.00018750003073364496
0.05,original,168.png,2.452506127774896,0.012982812929779002,0.10740396118566865,0.6573381060841892,0.18463929069262586,0.000188400037586689
0.05,original,169.png,2.3831317060378274,0.41882718953264464,0.15270525917514122,0.7028909787522316,0.25090140494840235,0.0001914000022225082
0.05,original,17.png,2.3425921666760092,0.09658794879821894,0.33504191360973085,0.7557509333966569,0.46426457531814147,0.00012959999730810523
0.05,original,170.png,2.5036628361267943,0.1896465191036273,0.3881232940547313,0.6111751755942854,0.4747557003257329,0.00016310001956298947
0.05,original,171.png,2.0780815420470007,0.2918186702743664,0.2245156709604298,0.6660147434923033,0.33582400910297744,0.00019449996761977673
0.05,original,172.png,2.28833893082842,0.4255099055807314,0.19534732917235545,0.7384332550293754,0.3089611555061749,0.00015209999401122332
0.05,original,173.png,1.9961482770953118,0.2914741956843453,0.1838355984504078,0.3976143141147435,0.2514254927490684,0.00010569998994469643
0.05,original,174.png,2.3933524022085564,0.49457510518694603,0.4790598132908457,0.7484291231908984,0.5841882649388049,0.00013420003233477473
0.05,original,175.png,2.4789861380021594,0.06120583237674327,0.2664172123478226,0.5850451930969802,0.3661138963877105,0.00011309998808428645
0.05,original,176.png,2.0510558882917533,0.2764460194500172,0.3653425390186389,0.7623782467524731,0.4939683791867995,0.00011790002463385463
0.05,original,177.png,2.392412245372917,0.12798123091715488,0.3798760643750257,0.7638042309064504,0.5073986959240182,0.00020569999469444156
0.05,original,178.png,1.7953246064442188,0.37196657053338505,0.3743715722118519,0.6541225793565041,0.47620085749582153,0.00020269997185096145
0.05,original,179.png,2.1062187943116015,0.3795524423601246,0.37963324229400136,0.5559999999996028,0.4511940644562949,0.00013259996194392443
0.05,original,18.png,2.285350292410782,0.47361351798789353,0.1302971396833851,0.6818776340638252,0.21878715814506539,0.0001433999859727919
